Date,Open,Close,High,Low,Volume
13-Sep-18,2000,1989.869995,2008.76001,1982.030029,3621500
14-Sep-18,1992.930054,1970.189941,1993.650024,1959.219971,3642000
17-Sep-18,1954.72998,1908.030029,1956.819946,1887.410034,7050200
18-Sep-18,1918.650024,1941.050049,1958.199951,1915.439941,4268700
19-Sep-18,1940.5,1926.420044,1940.829956,1904.900024,4056800
20-Sep-18,1938.579956,1944.300049,1955,1932.25,3154900
21-Sep-18,1954.219971,1915.01001,1957.310059,1910.5,6855900
24-Sep-18,1903.790039,1934.359985,1936.880005,1865,4213700
25-Sep-18,1942.900024,1974.550049,1975.910034,1938.849976,4538400
26-Sep-18,1968.5,1974.849976,1995.25,1961.52002,4313500
27-Sep-18,1993.23999,2012.97998,2016.160034,1988.579956,4329400
28-Sep-18,2004.410034,2003,2026.52002,1996.459961,4085100
1-Oct-18,2021.98999,2004.359985,2033.189941,2003.599976,3460500
2-Oct-18,1999.98999,1971.310059,2013.390015,1965.77002,5400700
3-Oct-18,1981.699951,1952.76001,1989.699951,1949.810059,5253100
4-Oct-18,1949,1909.420044,1956,1896.569946,7257000
5-Oct-18,1917.98999,1889.650024,1929.079956,1862.829956,6822300
8-Oct-18,1874,1864.420044,1902,1830.660034,7393200
9-Oct-18,1859.98999,1870.319946,1896.680054,1852.319946,4772900
10-Oct-18,1857.890015,1755.25,1858.560059,1754.410034,10988900
11-Oct-18,1724,1719.359985,1755.400024,1685.099976,13935900
12-Oct-18,1808,1788.609985,1808.949951,1742.530029,9444600
15-Oct-18,1795,1760.949951,1795.050049,1734.22998,6437200
16-Oct-18,1783.5,1819.959961,1823.880005,1761.550049,5859900
17-Oct-18,1842.790039,1831.72998,1845,1807,5295200
18-Oct-18,1821.48999,1770.719971,1830.150024,1767.869995,5874000
19-Oct-18,1785.160034,1764.030029,1809.099976,1753,5907200
22-Oct-18,1784,1789.300049,1809.5,1756,4500000
23-Oct-18,1742.23999,1768.699951,1776.339966,1714,6723900
24-Oct-18,1773.699951,1664.199951,1777.709961,1656.560059,6928400
